OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketInfoURL,TotalWages,UnemploymentInsuranceClaimants,x,y
1817,Fairbanks,2003,18591,11219,2297,1303,1918,4167,1534,9267,0.8299999833,1011,0.09000000358,5677,5542,3452,2157,9079,9719,9599,9027,7238,4772,,288219183,2147,-147.7212482,64.83969225
1818,Fairbanks,2004,18240,11104,2093,1247,1928,4149,1688,9178,0.8299999833,1045,0.09000000358,5603,5501,3466,2218,9076,9759,9622,9039,7341,4922,,295557569,1969,-147.7212482,64.83969225
2562,"Juneau, City and Borough of",2001,22172,15443,2478,1532,2142,6860,2432,9504,0.6200000048,4055,0.2599999905,7779,7664,5539,3346,13246,13972,13787,13006,11146,5663,,442178847,1893,-134.4066397,58.29983971
2563,"Juneau, City and Borough of",2002,22414,15451,2434,1443,2093,6884,2598,9174,0.5899999738,4164,0.2700000107,7844,7607,5714,3537,13237,14005,13909,13029,11201,5097,,455430186,1906,-134.4066397,58.29983971
2564,"Juneau, City and Borough of",2003,22688,15510,2371,1405,2161,6764,2811,9176,0.5899999738,4184,0.2700000107,7803,7707,5963,3785,13379,14062,13775,12943,11220,4901,,469563865,2077,-134.4066397,58.29983971
2565,"Juneau, City and Borough of",2004,22809,15580,2308,1498,2154,6757,2863,9354,0.6000000238,4081,0.2599999905,7886,7694,6126,3993,13261,14104,13948,13021,11133,5021,,473411197,2072,-134.4066397,58.29983971
2817,King Salmon,2001,311,205,22,12,29,84,58,163,0.8000000119,13,0.05999999866,85,120,70,52,183,195,187,174,159,73,,7397743,24,-156.6676467,58.68137127
2818,King Salmon,2002,310,209,33,14,25,85,52,159,0.7599999905,14,0.0700000003,91,118,75,51,180,189,178,174,150,61,,6736943,37,-156.6676467,58.68137127
2819,King Salmon,2003,305,196,29,16,21,73,57,143,0.7300000191,12,0.05999999866,82,114,76,51,167,178,173,157,135,77,,6768628,23,-156.6676467,58.68137127
2820,King Salmon,2004,321,201,22,22,21,83,53,154,0.7699999809,11,0.05000000075,84,117,81,48,168,187,180,167,142,65,,6858944,22,-156.6676467,58.68137127
2937,Kodiak,2001,4579,3216,524,393,1043,1024,232,2827,0.8799999952,115,0.03999999911,1525,1691,1171,793,2810,2896,2879,2629,2314,1263,,67426206,1226,-152.3974812,57.79300136
2938,Kodiak,2002,4644,3239,518,438,1061,967,255,2845,0.8799999952,112,0.02999999933,1546,1693,1225,827,2791,2882,2938,2693,2338,1263,,68402390,1245,-152.3974812,57.79300136
2939,Kodiak,2003,4624,3162,497,367,896,1115,287,2780,0.8799999952,111,0.03999999911,1517,1645,1254,836,2764,2825,2842,2595,2297,1165,,71691626,1205,-152.3974812,57.79300136
2940,Kodiak,2004,4586,3131,478,356,951,1063,283,2750,0.8799999952,108,0.02999999933,1514,1617,1265,859,2665,2795,2814,2589,2193,1149,,70798369,1126,-152.3974812,57.79300136
3393,McGrath,2001,307,223,57,23,34,81,28,125,0.5600000024,27,0.1199999973,112,111,72,48,155,187,191,166,120,116,,5196787,65,-155.5883531,62.95014085
3394,McGrath,2002,293,209,61,28,29,58,33,116,0.5600000024,23,0.1099999994,104,105,72,50,151,173,171,154,113,99,,4890522,57,-155.5883531,62.95014085
3395,McGrath,2003,295,198,51,20,31,67,29,99,0.5,31,0.1599999964,98,100,83,59,149,165,169,150,114,89,,4894200,51,-155.5883531,62.95014085
3396,McGrath,2004,271,182,43,12,32,69,26,95,0.5199999809,33,0.1800000072,88,94,74,45,136,159,159,140,107,91,,4707457,40,-155.5883531,62.95014085
3874,Nome,2001,2379,1716,288,138,223,726,341,1274,0.7400000095,195,0.1099999994,848,868,548,339,1428,1506,1486,1397,1150,655,,53643135,229,-165.4085599,64.49808969
3875,Nome,2002,2361,1735,287,146,198,712,392,1261,0.7300000191,199,0.1099999994,852,883,573,356,1470,1529,1555,1463,1235,653,,57194277,236,-165.4085599,64.49808969
3876,Nome,2003,2299,1696,267,129,223,668,409,1281,0.7599999905,193,0.1099999994,825,871,610,380,1452,1508,1480,1434,1196,596,,57697025,238,-165.4085599,64.49808969
3877,Nome,2004,2362,1750,242,153,229,703,423,1321,0.75,200,0.1099999994,846,904,641,403,1475,1512,1550,1502,1224,629,,60955693,235,-165.4085599,64.49808969
5841,Yakutat,2001,500,369,89,40,75,138,27,282,0.7599999905,11,0.02999999933,163,206,140,83,293,309,308,280,216,211,,7627733,92,-139.7500324,59.5587609
5842,Yakutat,2002,515,372,100,47,75,120,30,235,0.6299999952,13,0.02999999933,169,203,143,90,231,316,310,288,177,191,,7463378,107,-139.7500324,59.5587609
5843,Yakutat,2003,496,361,95,53,68,126,19,256,0.7099999785,14,0.03999999911,170,191,145,93,249,285,299,291,189,215,,7012244,108,-139.7500324,59.5587609
5844,Yakutat,2004,482,344,80,46,64,128,26,251,0.7300000191,13,0.03999999911,165,179,135,98,238,306,299,283,196,177,,7238112,108,-139.7500324,59.5587609
