OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketInfoURL,TotalWages,UnemploymentInsuranceClaimants,x,y
40,Buckland,2016,308,192,61,22,27,55,27,90,0.4699999988,2,0.009999999776,89,103,60,40,121,144,159,144,93,99,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=20&p=36&goplace=go,4560034,64,-161.1290202,65.97765384
41,Buffalo Soapstone,2016,672,372,58,24,52,102,136,304,0.8199999928,33,0.09000000358,168,204,170,132,306,323,328,308,253,121,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=37&goplace=go,16983001,63,-149.0111034,61.69132433
42,Butte,2016,2619,1373,161,104,182,410,516,1088,0.7900000215,101,0.0700000003,636,737,614,460,1138,1244,1255,1164,978,434,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=38&goplace=go,61811028,189,-149.0354355,61.54162777
43,Cantwell,2016,169,83,8,10,13,20,32,49,0.5899999738,18,0.2199999988,32,51,49,38,58,76,75,65,49,22,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=6&p=39&goplace=go,3700064,24,-148.8953863,63.39242527
44,Central,2016,89,15,4,0,2,3,6,12,0.8000000119,3,0.200000003,5,10,9,6,10,12,10,12,8,5,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=40&goplace=go,575270,7,-144.8219354,65.57070889
45,Chalkyitsik,2016,57,49,18,4,15,6,6,5,0.1000000015,0,0,20,29,18,10,34,41,43,36,26,18,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=41&goplace=go,789026,11,-143.7278962,66.65040098
46,Chase,2016,43,19,2,1,2,9,5,18,0.9499999881,0,0,6,13,12,9,11,16,16,13,9,5,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=42&goplace=go,918478,8,-150.0512588,62.44980587
47,Chefornak,2016,315,258,117,45,40,45,11,131,0.5099999905,10,0.03999999911,130,128,82,61,198,206,211,179,135,137,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=43&goplace=go,3212715,53,-164.2803406,60.15801495
48,Chena Ridge,2016,4368,2815,297,211,259,810,1238,1929,0.6899999976,592,0.2099999934,1379,1436,1204,933,2409,2580,2557,2389,2087,819,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=44&goplace=go,147320325,220,-147.9691582,64.82586622
49,Chenega,2016,27,16,6,1,3,5,1,9,0.5600000024,0,0,6,10,6,4,9,11,11,12,7,7,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=26&p=45&goplace=go,271431,2,-148.0123404,60.06559632
50,Chevak,2016,635,420,168,62,78,86,26,225,0.5400000215,2,0,187,233,127,91,295,331,350,315,237,183,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=15&p=46&goplace=go,6321640,115,-165.5905277,61.52861818
51,Chickaloon,2016,212,94,11,6,10,34,33,72,0.7699999809,8,0.09000000358,37,57,54,50,77,83,84,80,64,32,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=47&goplace=go,4083165,17,-148.4788125,61.79624012
52,Chignik,2016,53,38,10,3,10,7,8,16,0.4199999869,0,0,19,19,17,15,30,34,28,30,21,15,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=16&p=49&goplace=go,1014477,5,-158.4141558,56.3012632
53,Chignik Lagoon,2016,59,29,8,2,5,8,6,13,0.4499999881,0,0,15,14,9,9,21,25,21,28,20,16,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=16&p=50&goplace=go,760766,3,-158.5377611,56.31042481
54,Chignik Lake,2016,66,45,15,7,11,8,4,18,0.400000006,0,0,22,23,16,15,31,33,33,32,22,21,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=16&p=51&goplace=go,757398,11,-158.7630842,56.25373123
55,Chiniak,2016,65,30,6,5,5,8,6,24,0.8000000119,0,0,15,15,14,12,19,27,26,22,17,14,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=14&p=52&goplace=go,889132,2,-152.2228178,57.61797554
56,Chistochina,2016,65,38,4,2,10,9,13,32,0.8399999738,1,0.02999999933,18,20,18,13,29,33,35,29,22,17,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=26&p=54&goplace=go,1463385,9,-144.6641875,62.56636226
57,Chitina,2016,72,35,11,7,7,8,2,20,0.5699999928,2,0.05999999866,16,19,10,9,21,30,30,23,15,15,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=26&p=55&goplace=go,633783,15,-144.4411179,61.51649027
58,Chuathbaluk,2016,79,57,18,15,9,11,4,15,0.2599999905,0,0,25,32,17,14,41,48,49,48,35,34,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=56&goplace=go,841953,15,-159.2420218,61.57491472
59,Circle,2016,82,42,18,6,9,7,2,12,0.2899999917,1,0.01999999955,23,19,11,9,27,30,34,32,19,25,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=57&goplace=go,597801,17,-144.0667491,65.82664654
60,Clam Gulch,2016,155,75,6,8,14,22,25,62,0.8299999833,4,0.05000000075,35,40,46,40,61,65,63,61,49,14,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=58&goplace=go,3389292,20,-151.4022394,60.22643138
61,Clark's Point,2016,40,18,8,4,1,5,0,10,0.5600000024,1,0.05999999866,8,10,11,9,14,15,13,12,10,6,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=7&p=59&goplace=go,238686,2,-158.5479769,58.8345343
62,Coffman Cove,2016,152,69,17,10,6,13,23,37,0.5400000215,4,0.05999999866,31,38,48,37,52,63,56,57,41,19,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&b=22&p=60&goplace=go,2364504,18,-132.8282628,56.01404249
63,Cohoe,2016,1133,531,85,46,77,153,170,438,0.8199999928,26,0.05000000075,262,269,289,234,446,470,454,428,350,162,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=61&goplace=go,22138755,60,-151.3195796,60.36911853
64,Cold Bay,2016,40,23,2,1,3,9,8,14,0.6100000143,5,0.2199999988,8,15,13,11,22,23,22,17,16,4,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=1&p=62&goplace=go,971509,1,-162.7149874,55.20656795
65,Coldfoot,2016,17,10,1,1,1,5,2,9,0.8999999762,1,0.1000000015,1,9,3,2,9,9,8,9,8,4,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=63&goplace=go,333308,1,-150.1895984,67.25623468
66,College,2016,8404,5527,642,471,694,1801,1919,3922,0.7099999785,1050,0.1899999976,2746,2781,2044,1576,4671,5015,5010,4599,3968,1820,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=64&goplace=go,242184095,530,-147.8028,64.8569
67,Cooper Landing,2016,273,121,17,13,29,37,25,104,0.8600000143,10,0.07999999821,52,69,54,47,71,109,104,94,54,36,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=65&goplace=go,3877786,39,-149.808407,60.49487276
68,Copper Center,2016,160,85,17,9,11,26,22,66,0.7799999714,6,0.0700000003,38,47,46,38,62,76,69,63,47,32,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=26&p=66&goplace=go,3147996,19,-145.3053,61.955
69,Cordova,2016,1751,1104,215,103,186,357,243,787,0.7099999785,63,0.05999999866,532,572,556,428,772,973,923,798,606,401,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=26&p=67&goplace=go,35005424,193,-145.7601749,60.54406292
70,Covenant Life,2016,85,42,5,4,7,19,7,28,0.6700000167,8,0.1899999976,23,19,19,17,34,38,38,37,30,11,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&b=9&p=68&goplace=go,1303560,7,-135.989808,59.39371811
71,Craig,2016,821,505,71,57,88,182,107,374,0.7400000095,19,0.03999999911,240,265,234,186,408,450,450,420,336,168,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&b=22&p=69&goplace=go,16113719,106,-133.1510826,55.47604421
72,Crooked Creek,2016,82,51,18,4,14,10,5,9,0.1800000072,0,0,27,24,21,17,39,41,39,33,27,12,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=70&goplace=go,886249,14,-158.1058165,61.87042537
73,Crown Point,2016,42,16,2,2,3,4,5,8,0.5,2,0.1299999952,10,6,11,10,14,13,11,12,10,3,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=71&goplace=go,540673,7,-149.3695472,60.41930962
74,Deering,2016,87,64,16,9,12,21,6,28,0.4399999976,0,0,34,30,19,15,47,56,54,53,37,36,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=20&p=72&goplace=go,1383902,13,-162.7288422,66.07667336
75,Delta Junction,2016,1021,486,71,45,50,142,178,409,0.8399999738,13,0.02999999933,219,267,168,123,382,434,431,412,328,206,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=73&goplace=go,21181331,67,-145.7366682,64.04716726
76,Deltana,2016,1624,733,104,70,94,198,267,607,0.8299999833,39,0.05000000075,338,395,330,251,578,654,634,590,475,319,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=74&goplace=go,30835473,114,-145.1737915,63.88714449
77,Denali Borough,2016,1423,783,126,66,94,195,302,596,0.7599999905,41,0.05000000075,347,436,375,289,572,717,676,603,473,232,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=6&p=0&goplace=go,36010692,154,-149.0058449,63.87038443
78,Diamond Ridge,2016,888,445,65,41,65,128,146,309,0.6899999976,30,0.0700000003,231,214,241,197,372,397,388,346,300,124,http://live.laborstats.alaska.gov/alari/index.cfm?r=2&b=12&p=75&goplace=go,19015455,33,-151.5575,59.6761111
79,Dillingham Census Area,2016,3470,2209,566,217,304,571,551,1398,0.6299999952,124,0.05999999866,1139,1070,861,668,1719,1851,1827,1733,1357,857,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=7&p=0&goplace=go,69767620,325,-157.724259,59.806779
80,Dillingham,2016,1693,1166,167,81,119,348,451,866,0.7400000095,98,0.07999999821,611,555,495,393,971,1023,1002,962,801,393,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=7&p=76&goplace=go,51576529,97,-158.4630788,59.03937443
81,Diomede,2016,53,51,19,2,15,11,4,8,0.1599999964,0,0,21,30,25,18,43,41,41,42,30,31,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=18&p=77&goplace=go,894468,5,-168.9517919,65.75835251
82,Dot Lake,2016,25,8,3,0,2,1,2,7,0.8799999952,0,0,3,5,5,4,5,5,6,5,3,4,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=78&goplace=go,231239,3,-144.0588808,63.65794205
83,Dot Lake Village,2016,28,13,5,2,0,3,3,6,0.4600000083,0,0,5,8,1,0,6,10,10,9,4,9,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=79&goplace=go,363373,4,-144.0493401,63.65559219
84,Dry Creek,2016,68,19,6,2,3,7,1,18,0.9499999881,1,0.05000000075,10,9,8,5,13,14,16,16,8,13,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=80&goplace=go,356312,2,-144.6018116,63.67518647
85,Eagle,2016,94,38,12,9,6,7,4,18,0.4699999988,5,0.1299999952,21,17,25,23,26,31,33,31,22,12,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=81&goplace=go,622722,9,-141.2075972,64.78893968
86,Eagle Village,2016,42,20,4,4,5,5,2,9,0.4499999881,2,0.1000000015,8,12,16,12,15,15,15,17,10,7,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=82&goplace=go,407018,7,-141.0457864,64.74518901
87,Edna Bay,2016,43,14,5,3,1,2,3,13,0.9300000072,0,0,5,9,6,5,11,11,9,12,7,10,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&b=22&p=83&goplace=go,347773,5,-133.6581577,55.95512271
88,Eek,2016,233,133,38,9,24,48,14,82,0.6200000048,1,0.009999999776,53,80,44,36,85,115,118,103,70,60,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=4&p=84&goplace=go,2918469,50,-162.0294973,60.21890592
89,Egegik,2016,61,41,11,4,5,12,9,14,0.3400000036,1,0.01999999955,15,26,20,14,34,33,31,29,23,16,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=16&p=85&goplace=go,1059550,6,-157.3757505,58.20907023
90,Eielson AFB,2016,746,140,43,28,28,27,14,105,0.75,7,0.05000000075,106,34,11,6,103,104,95,94,61,64,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=86&goplace=go,2440597,13,-147.0810566,64.6701432
91,Ekwok,2016,77,55,24,5,9,9,8,18,0.3300000131,2,0.03999999911,31,24,26,21,35,41,36,44,27,26,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=7&p=87&goplace=go,1106918,13,-157.478047,59.35024427
92,Elfin Cove,2016,28,13,10,0,1,2,0,10,0.7699999809,2,0.150000006,3,10,13,10,11,8,6,5,3,3,http://live.laborstats.alaska.gov/alari/index.cfm?r=5&b=10&p=88&goplace=go,84201,1,-136.3454861,58.19391484
93,Elim,2016,193,139,48,15,26,38,12,46,0.3300000131,2,0.009999999776,65,74,43,34,111,107,117,102,82,69,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&b=18&p=89&goplace=go,2572493,41,-162.2645069,64.61655211
94,Emmonak,2016,558,415,125,69,81,110,30,277,0.6700000167,6,0.009999999776,175,240,140,90,258,346,375,276,196,209,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=15&p=90&goplace=go,7518646,144,-164.5298469,62.77694738
95,Ester,2016,1579,1053,112,90,145,342,364,674,0.6399999857,262,0.25,511,542,406,326,886,964,945,848,736,294,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=91&goplace=go,43356592,110,-147.9767933,64.85543162
96,Eureka Roadhouse,2016,31,11,0,0,3,6,2,8,0.7300000191,3,0.2700000107,4,7,5,4,11,11,11,10,10,2,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=92&goplace=go,456992,2,-147.1680556,61.9386111
97,Fairbanks,2016,16750,10236,1338,855,1389,3835,2820,8539,0.8299999833,928,0.09000000358,5181,5055,3602,2765,8747,9244,9100,8438,7259,3735,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=95&goplace=go,389093178,1292,-147.7212482,64.83969225
98,Fairbanks North Star Borough,2016,60483,36926,4353,2971,4438,12278,12888,28558,0.7699999809,4882,0.1299999952,18026,18900,14342,10992,31503,33605,33072,30864,26630,12155,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=0&goplace=go,1605980000,3982,-147.7257127,64.84513255
99,False Pass,2016,33,24,2,3,5,5,9,16,0.6700000167,0,0,10,14,11,10,22,22,23,21,19,9,http://live.laborstats.alaska.gov/alari/index.cfm?r=6&b=1&p=96&goplace=go,840013,1,-163.4147388,54.85503086
100,Farm Loop,2016,859,483,74,40,43,149,177,363,0.75,43,0.09000000358,213,270,226,175,405,427,420,405,343,148,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=97&goplace=go,21712112,37,-149.1453354,61.64000731
101,Farmers Loop,2016,3471,2130,207,158,212,649,904,1569,0.7400000095,334,0.1599999964,966,1164,914,707,1847,1961,1939,1825,1608,616,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=98&goplace=go,107859346,209,-147.7605973,64.88981073
102,Ferry,2016,23,10,2,1,2,1,4,8,0.8000000119,1,0.1000000015,3,7,9,6,7,9,8,9,6,1,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=6&p=99&goplace=go,430364,4,-149.1157308,64.01708593
103,Fishhook,2016,3827,2302,277,180,244,627,974,1806,0.7799999714,148,0.05999999866,1044,1258,876,636,1996,2091,2071,1982,1710,715,http://live.laborstats.alaska.gov/alari/index.cfm?r=1&b=17&p=100&goplace=go,116467956,283,-149.248677,61.69322118
104,Fort Greely,2016,162,42,8,2,4,10,18,37,0.8799999952,1,0.01999999955,24,18,19,9,38,38,36,35,31,15,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=25&p=102&goplace=go,2124079,1,-145.7239404,63.99181799
105,Fort Yukon,2016,411,267,68,24,32,83,60,123,0.4600000083,4,0.009999999776,132,135,113,95,213,221,221,214,163,128,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=103&goplace=go,8136291,59,-145.2412838,66.5661669
106,Four Mile Road,2016,22,15,2,0,3,3,7,9,0.6000000238,0,0,7,8,10,10,15,14,15,14,14,3,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=29&p=104&goplace=go,865368,2,-149.1179,64.6003
107,Fox,2016,319,199,22,14,25,58,80,176,0.8799999952,12,0.05999999866,90,109,90,71,166,184,174,175,144,74,http://live.laborstats.alaska.gov/alari/index.cfm?r=3&b=8&p=105&goplace=go,9286398,38,-147.6183,64.9581
